,inhibitor_combination,cell_line,tissue,pd_combination,exp_synergy,pred_synergy,exp_binary,pred_binary,confusion_matrix_value
0,AKTi + EGFRi,C2BBE1,,,16.4907216695,0.5155952556435308,True,True,True Positive
1,AKTi + EGFRi,CAR1,,PD_03-PD_11,19.9830383975,0.6246068954467774,True,True,True Positive
2,AKTi + EGFRi,CL11,,,-0.8106205670000001,0.1200680324009486,False,True,False Positive
3,AKTi + EGFRi,HT115,,,8.94964371225,1.2234064139217111,True,True,True Positive
4,AKTi + EGFRi,LS123,,PD_03-PD_11,10.027924243,1.4359145061837302,True,True,True Positive
5,AKTi + EGFRi,NCIH508,,,15.9566272725,1.1694431230391578,True,True,True Positive
6,AKTi + EGFRi,NCIH716,,,11.542453616,0.5824018669409324,True,True,True Positive
7,AKTi + EGFRi,NCIH747,,,19.3234702225,0.288610045974319,True,True,True Positive
8,AKTi + EGFRi,SNU81,,,5.38504496625,0.6262077705586171,True,True,True Positive
9,AKTi + EGFRi,SW1116,,PD_03-PD_11,6.15828313425,0.9799556861401896,True,True,True Positive
10,AKTi + EGFRi,SW1417,,PD_03-PD_11,2.95936396775,0.3666292884725151,True,True,True Positive
11,AKTi + EGFRi,SW1463,,PD_03-PD_11,10.36232480975,0.8801524098714194,True,True,True Positive
12,AKTi + EGFRi,SW620,,PD_03-PD_11,-3.548650943,0.468207275166231,False,True,False Positive
13,AKTi + EGFRi,SW837,,PD_03-PD_11,13.92253053,-0.0,True,False,False Negative
14,AKTi + EGFRi,SW948,,PD_03-PD_11,16.60214235125,1.1745349693384606,True,True,True Positive
15,AKTi + EGFRi,T84,,PD_03-PD_11,16.6542626725,0.5676020894731794,True,True,True Positive
16,AKTi + PIK3_MTORi,C2BBE1,,,4.609794806,0.0422850472586495,True,True,True Positive
17,AKTi + PIK3_MTORi,CAR1,,PD_02-PD_03,8.5253712665,0.0011905125209263,True,True,True Positive
18,AKTi + PIK3_MTORi,CL11,,,-1.1932711979999997,0.0174771161146567,False,True,False Positive
19,AKTi + PIK3_MTORi,HT115,,,9.505322311,0.0030864433006003,True,True,True Positive
20,AKTi + PIK3_MTORi,LS123,,PD_02-PD_03,9.202045125,0.0104166666666665,True,True,True Positive
21,AKTi + PIK3_MTORi,NCIH508,,,4.5183372245,0.0077778116861979,True,True,True Positive
22,AKTi + PIK3_MTORi,NCIH716,,,9.11054762,0.0331615172710615,True,True,True Positive
23,AKTi + PIK3_MTORi,NCIH747,,,7.597240218,0.0105747617524245,True,True,True Positive
24,AKTi + PIK3_MTORi,SNU81,,,5.048071329,0.0024691923165026,True,True,True Positive
25,AKTi + PIK3_MTORi,SW1116,,PD_02-PD_03,-7.2567583935,0.0104166666666665,False,True,False Positive
26,AKTi + PIK3_MTORi,SW1417,,PD_02-PD_03,-1.0032821105,0.0157079504640311,False,True,False Positive
27,AKTi + PIK3_MTORi,SW1463,,PD_02-PD_03,-1.718900594,0.0307744750976561,False,True,False Positive
28,AKTi + PIK3_MTORi,SW620,,PD_02-PD_03,-1.291580318,-0.0,False,False,True Negative
29,AKTi + PIK3_MTORi,SW837,,PD_02-PD_03,10.561930754999999,1.0380128623310725e-07,True,False,False Negative
30,AKTi + PIK3_MTORi,SW948,,PD_02-PD_03,12.889358510000001,0.0187996252259212,True,True,True Positive
31,AKTi + PIK3_MTORi,T84,,PD_02-PD_03,11.5079200075,0.0224137931034482,True,True,True Positive
32,AKTi + mTORi,C2BBE1,,,12.71079023,0.0422850472586495,True,True,True Positive
33,AKTi + mTORi,CAR1,,PD_08-PD_03,12.85622951,0.0011905125209263,True,True,True Positive
34,AKTi + mTORi,CL11,,,4.02573741275,0.0293427588234485,True,True,True Positive
35,AKTi + mTORi,HT115,,,9.76865325675,0.0030864433006003,True,True,True Positive
36,AKTi + mTORi,LS123,,PD_08-PD_03,12.045517404249999,0.0104167726304795,True,True,True Positive
37,AKTi + mTORi,NCIH508,,,7.80320648,0.0077778116861979,True,True,True Positive
38,AKTi + mTORi,NCIH716,,,14.338623805,0.0331615172710615,True,True,True Positive
39,AKTi + mTORi,NCIH747,,,12.8311205425,0.0137931034482756,True,True,True Positive
40,AKTi + mTORi,SNU81,,,9.660598383,0.0024691923165026,True,True,True Positive
41,AKTi + mTORi,SW1116,,PD_08-PD_03,-8.255631245250001,0.0104166666666665,False,True,False Positive
42,AKTi + mTORi,SW1417,,PD_08-PD_03,1.1845177735,0.0157079504640311,True,True,True Positive
43,AKTi + mTORi,SW1463,,PD_08-PD_03,-2.36625470225,0.036,False,True,False Positive
44,AKTi + mTORi,SW620,,PD_08-PD_03,3.281663275,0.0558753802621965,True,True,True Positive
45,AKTi + mTORi,SW837,,PD_08-PD_03,5.042844699,1.0380128623310725e-07,True,False,False Negative
46,AKTi + mTORi,SW948,,PD_08-PD_03,14.5594933375,0.0187996252259212,True,True,True Positive
47,AKTi + mTORi,T84,,PD_08-PD_03,2.3512421462499997,0.0229885759024786,True,True,True Positive
48,BCL2L1i + PIK3_MTORi,C2BBE1,,,-4.972144182,0.3498259726338002,False,True,False Positive
49,BCL2L1i + PIK3_MTORi,CAR1,,PD_02-PD_13,16.92049151,0.2915522257486979,True,True,True Positive
50,BCL2L1i + PIK3_MTORi,CL11,,,-22.37896751,0.4523570709944891,False,True,False Positive
51,BCL2L1i + PIK3_MTORi,HT115,,,-13.69606644,0.7192918539047242,False,True,False Positive
52,BCL2L1i + PIK3_MTORi,LS123,,PD_02-PD_13,23.22242042,0.4927715022814328,True,True,True Positive
53,BCL2L1i + PIK3_MTORi,NCIH508,,,25.28721176,0.3743087259928385,True,True,True Positive
54,BCL2L1i + PIK3_MTORi,NCIH716,,,33.77740792,0.7038121580846102,True,True,True Positive
55,BCL2L1i + PIK3_MTORi,NCIH747,,,8.326031374,0.4930724326065088,True,True,True Positive
56,BCL2L1i + PIK3_MTORi,SNU81,,,19.78773505,0.4897518114539665,True,True,True Positive
57,BCL2L1i + PIK3_MTORi,SW1116,,PD_02-PD_13,8.475028182,0.3302363459269205,True,True,True Positive
58,BCL2L1i + PIK3_MTORi,SW1417,,PD_02-PD_13,11.42991004,0.2126216634114583,True,True,True Positive
59,BCL2L1i + PIK3_MTORi,SW1463,,PD_02-PD_13,14.13848859,0.5266407325940254,True,True,True Positive
60,BCL2L1i + PIK3_MTORi,SW620,,PD_02-PD_13,5.716612568,0.4911036323529067,True,True,True Positive
61,BCL2L1i + PIK3_MTORi,SW837,,PD_02-PD_13,27.28772275,0.3262969513977465,True,True,True Positive
62,BCL2L1i + PIK3_MTORi,SW948,,PD_02-PD_13,21.35125509,0.3008663443276159,True,True,True Positive
63,BCL2L1i + PIK3_MTORi,T84,,PD_02-PD_13,32.17602391,0.5480733568915006,True,True,True Positive
64,BCL2L1i + mTORi,C2BBE1,,,-7.387980791,0.1189630635579426,False,True,False Positive
65,BCL2L1i + mTORi,CAR1,,PD_08-PD_13,13.538218035,0.0513612365722656,True,True,True Positive
66,BCL2L1i + mTORi,CL11,,,-9.128691355,0.1834502156575521,False,True,False Positive
67,BCL2L1i + mTORi,HT115,,,-5.208941599,0.2368808095048113,False,True,False Positive
68,BCL2L1i + mTORi,LS123,,PD_08-PD_13,19.822702399999997,0.141242218017578,True,True,True Positive
69,BCL2L1i + mTORi,NCIH508,,,25.98261556,0.054355977376302,True,True,True Positive
70,BCL2L1i + mTORi,NCIH716,,,31.430383435,0.3335866248089334,True,True,True Positive
71,BCL2L1i + mTORi,NCIH747,,,9.543255796,0.195251578857968,True,True,True Positive
72,BCL2L1i + mTORi,SNU81,,,17.061497635000002,0.2085974826942496,True,True,True Positive
73,BCL2L1i + mTORi,SW1116,,PD_08-PD_13,3.6934716610000002,0.0516288757324219,True,True,True Positive
74,BCL2L1i + mTORi,SW1417,,PD_08-PD_13,2.7079160245,0.045823974609375,True,True,True Positive
75,BCL2L1i + mTORi,SW1463,,PD_08-PD_13,5.76546046,0.1281560610613344,True,True,True Positive
76,BCL2L1i + mTORi,SW620,,PD_08-PD_13,2.096301594,0.1550079345703124,True,True,True Positive
77,BCL2L1i + mTORi,SW837,,PD_08-PD_13,20.758358684999997,0.0601567077636718,True,True,True Positive
78,BCL2L1i + mTORi,SW948,,PD_08-PD_13,22.760947115,0.0758290567203444,True,True,True Positive
79,BCL2L1i + mTORi,T84,,PD_08-PD_13,24.523324345,0.1576746622721354,True,True,True Positive
80,BCL2i + PIK3_MTORi,C2BBE1,,,6.750379424,0.3724392594962284,True,True,True Positive
81,BCL2i + PIK3_MTORi,CAR1,,PD_02-PD_15,7.638347624,0.3808249119349887,True,True,True Positive
82,BCL2i + PIK3_MTORi,CL11,,,4.631934152,0.3691957500618948,True,True,True Positive
83,BCL2i + PIK3_MTORi,HT115,,,7.393244163,0.586241015681514,True,True,True Positive
84,BCL2i + PIK3_MTORi,LS123,,PD_02-PD_15,16.81648568,0.536789358478703,True,True,True Positive
85,BCL2i + PIK3_MTORi,NCIH508,,,8.243421949,0.3931631469726564,True,True,True Positive
86,BCL2i + PIK3_MTORi,NCIH716,,,7.913572326,0.5654427982071071,True,True,True Positive
87,BCL2i + PIK3_MTORi,NCIH747,,,8.162864264,0.6049685248013201,True,True,True Positive
88,BCL2i + PIK3_MTORi,SNU81,,,9.28287095,0.4973071958960555,True,True,True Positive
89,BCL2i + PIK3_MTORi,SW1116,,PD_02-PD_15,6.539612098,0.3330910068088109,True,True,True Positive
90,BCL2i + PIK3_MTORi,SW1417,,PD_02-PD_15,6.880009383,0.3095714546903401,True,True,True Positive
91,BCL2i + PIK3_MTORi,SW1463,,PD_02-PD_15,13.34712262,0.6043714552659255,True,True,True Positive
92,BCL2i + PIK3_MTORi,SW620,,PD_02-PD_15,-0.578742324,0.4702807639142592,False,True,False Positive
93,BCL2i + PIK3_MTORi,SW837,,PD_02-PD_15,10.53341113,0.3939395141601562,True,True,True Positive
94,BCL2i + PIK3_MTORi,SW948,,PD_02-PD_15,5.562877154,0.3856764319880092,True,True,True Positive
95,BCL2i + PIK3_MTORi,T84,,PD_02-PD_15,6.940772205,0.5124712187668372,True,True,True Positive
96,BCL2i + mTORi,C2BBE1,,,14.38103885,0.1503380330403647,True,True,True Positive
97,BCL2i + mTORi,CAR1,,PD_08-PD_15,13.645030675000001,0.1014761352539062,True,True,True Positive
98,BCL2i + mTORi,CL11,,,7.868694732,0.2537723795572917,True,True,True Positive
99,BCL2i + mTORi,HT115,,,14.049531052999999,0.3275330979261941,True,True,True Positive
100,BCL2i + mTORi,LS123,,PD_08-PD_15,12.384910954999999,0.1903104654947915,True,True,True Positive
101,BCL2i + mTORi,NCIH508,,,14.690705885,0.0720529174804689,True,True,True Positive
102,BCL2i + mTORi,NCIH716,,,20.055821245,0.4019868668265964,True,True,True Positive
103,BCL2i + mTORi,NCIH747,,,18.92189648,0.2253297932942708,True,True,True Positive
104,BCL2i + mTORi,SNU81,,,12.64631466,0.3179512075826423,True,True,True Positive
105,BCL2i + mTORi,SW1116,,PD_08-PD_15,3.3007072295,0.0899953206380208,True,True,True Positive
106,BCL2i + mTORi,SW1417,,PD_08-PD_15,-0.6049574545,0.1440396118164062,False,True,False Positive
107,BCL2i + mTORi,SW1463,,PD_08-PD_15,8.7021099,0.1228844105113635,True,True,True Positive
108,BCL2i + mTORi,SW620,,PD_08-PD_15,2.051520112,0.229072062174479,True,True,True Positive
109,BCL2i + mTORi,SW837,,PD_08-PD_15,5.5618015915,0.1157481892903646,True,True,True Positive
110,BCL2i + mTORi,SW948,,PD_08-PD_15,0.36249013099999994,0.1166323748737776,True,True,True Positive
111,BCL2i + mTORi,T84,,PD_08-PD_15,8.3111998115,0.2314894612630207,True,True,True Positive
112,CHEKi + CyclinDi,C2BBE1,,,-2.6079104795,0.0056565658251444,False,True,False Positive
113,CHEKi + CyclinDi,CAR1,,PD_18-PD_16,-20.631498625,0.024041513800621,False,True,False Positive
114,CHEKi + CyclinDi,CL11,,,-0.36178393200000003,0.0233333333333333,False,True,False Positive
115,CHEKi + CyclinDi,HT115,,,-7.2248436595,0.0244074084361394,False,True,False Positive
116,CHEKi + CyclinDi,LS123,,PD_18-PD_16,1.2468893900000002,0.0423333326975504,True,True,True Positive
117,CHEKi + CyclinDi,NCIH508,,,-11.282304204999999,0.0258333333333333,False,True,False Positive
118,CHEKi + CyclinDi,NCIH716,,,-5.5364712025000005,-0.0,False,False,True Negative
119,CHEKi + CyclinDi,NCIH747,,,-10.472349279500001,0.0016666666666666,False,True,False Positive
120,CHEKi + CyclinDi,SNU81,,,-2.1816518400000002,0.0310455965969119,False,True,False Positive
121,CHEKi + CyclinDi,SW1116,,PD_18-PD_16,-5.0584001259999996,-0.0,False,False,True Negative
122,CHEKi + CyclinDi,SW1417,,PD_18-PD_16,-7.8991089705,0.0166706349452336,False,True,False Positive
123,CHEKi + CyclinDi,SW1463,,PD_18-PD_16,-12.168861675,0.023015874226888,False,True,False Positive
124,CHEKi + CyclinDi,SW620,,PD_18-PD_16,-4.489024961,0.0166666666666666,False,True,False Positive
125,CHEKi + CyclinDi,SW837,,PD_18-PD_16,-7.440663413,0.0166666666666666,False,True,False Positive
126,CHEKi + CyclinDi,SW948,,PD_18-PD_16,-7.5941809075,0.0128611127535502,False,True,False Positive
127,CHEKi + CyclinDi,T84,,PD_18-PD_16,22.05579749,-0.0,True,False,False Negative
128,CHEKi + MAPKi,C2BBE1,,,-0.365021683,0.0157407633463539,False,True,False Positive
129,CHEKi + MAPKi,CAR1,,PD_18-PD_17,7.2831322620000005,0.0279443359375,True,True,True Positive
130,CHEKi + MAPKi,CL11,,,-6.86050313,0.0133333333333334,False,True,False Positive
131,CHEKi + MAPKi,HT115,,,-12.6523727875,0.0457621256510416,False,True,False Positive
132,CHEKi + MAPKi,LS123,,PD_18-PD_17,16.2446996225,0.0296818033854167,True,True,True Positive
133,CHEKi + MAPKi,NCIH508,,,3.307244679,0.0696667480468751,True,True,True Positive
